procurement_id,date,school_id,vendor_name,grain_type,quantity,unit,total_cost,payment_status,quantity_orginal,quantity_kg
MDM008820,2026-01-26,SCH0419,GOYAL ENTERPRISES,Wheat,15.8,KILOGRAM,474,DUE,15.8 kg,15.8
MDM001458,2025-12-29,SCH0216,SHARMA & SONS,Wheat,59.6,KILOGRAM,1788,Unknown,59.6,59.6
MDM002665,2025-10-12,SCH0245,KUMAR SUPPLIES,Mustard Oil,0.382,BAGS,2292,Unknown,0.382,19.1
MDM005509,2025-08-03,SCH0023,KUMAR SUPPLIES,Pulses,,,4608,PENDING,,
MDM000750,2025-11-26,SCH0306,KUMAR SUPPLIES,Pulses,,,3402,PAID,,
MDM006299,2025-11-25,SCH0566,GOYAL MILL,Pulses,40.0,KILOGRAM,3600,DUE,40,40.0
MDM006692,2025-07-16,SCH0476,SINGH AGRO,Mustard Oil,49600.0,GRAM,5952,Unknown,49600,49.6
MDM008599,2025-06-29,SCH0259,S. AGRO WORKS,Pulses,35100.0,GRAM,3159,PENDING,35100,35.1
MDM009422,2026-12-03,SCH0187,GOYAL ENTERPRISES,Pulses,47.3,KILOGRAM,4257,PAID,47.3 kg,47.3
MDM004886,2025-07-29,SCH0558,SINGH BROTHERS,Wheat,,,1329,DUE,,
MDM011213,2026-03-19,SCH0058,SINGH BROTHERS,Wheat,55.7,KILOGRAM,1671,PENDING,55.7 kg,55.7
MDM004194,2025-11-29,SCH0292,GOYAL ENTERPRISES,Mustard Oil,22.8,KILOGRAM,2736,PENDING,22.8 kg,22.8
MDM008415,2026-09-02,SCH0511,KUMAR & CO.,Mustard Oil,39200.0,GRAM,4704,DUE,39200,39.2
MDM009246,2025-06-11,SCH0342,SHARMA TRADERS PVT LTD,Rice,,,820,PAID,,
MDM007888,2025-10-18,SCH0098,SINGH BROTHERS,Wheat,57.9,KILOGRAM,1737,PAID,57.9,57.9
MDM009609,2025-04-16,SCH0303,GOYAL MILL,Mustard Oil,,,2676,PENDING,,
MDM010676,2026-03-30,SCH0496,KUMAR GENERAL STORE,Pulses,0.274,BAGS,1233,DUE,0.274,13.700000000000001
MDM011630,2025-10-04,SCH0151,SHARMA TRADERS PVT LTD,Mustard Oil,36.8,KILOGRAM,4416,PENDING,36.8,36.8
MDM005338,2026-02-25,SCH0547,SINGH AGRO,Wheat,44.6,KILOGRAM,,Unknown,44.6 kg,44.6
MDM007986,2025-08-26,SCH0040,KUMAR SUPPLIES,Wheat,,,1731,Unknown,,
MDM000294,2026-01-12,SCH0358,KUMAR & CO.,Rice,37.7,KILOGRAM,1508,PAID,37.7,37.7
MDM011862,2025-04-13,SCH0143,SINGH BROTHERS,Mustard Oil,,,6828,PENDING,,
MDM004314,2025-06-01,SCH0552,SHARMA TRADERS,Pulses,,,4941,PAID,,
MDM010212,2025-11-29,SCH0356,S. AGRO WORKS,Mustard Oil,0.226,BAGS,1356,PENDING,0.226,11.3
MDM004868,2026-01-13,SCH0146,GOYAL RICE MILL,Wheat,17400.0,GRAM,522,PAID,17400,17.4
MDM000312,2026-02-18,SCH0186,S. AGRO WORKS,Pulses,55.6,KILOGRAM,5004,PAID,55.6 kg,55.6
MDM003317,2026-01-05,SCH0264,KUMAR GENERAL STORE,Wheat,53.2,KILOGRAM,1596,PAID,53.2,53.2
MDM003586,2025-04-21,SCH0592,KUMAR SUPPLIES,Mustard Oil,31.8,KILOGRAM,3816,PAID,31.8,31.8
MDM009379,2025-07-29,SCH0474,SINGH AGRO,Mustard Oil,39.5,KILOGRAM,4740,PAID,39.5,39.5
MDM000773,2026-02-10,SCH0418,SINGH AGRO,Mustard Oil,29.3,KILOGRAM,3516,CLEARED,29.3,29.3
MDM000928,2026-03-18,SCH0265,GOYAL RICE MILL,Rice,24.0,KILOGRAM,960,PAID,24,24.0
MDM006158,2025-05-04,SCH0306,SHARMA TRADERS,Wheat,55900.0,GRAM,1677,PENDING,55900,55.9
MDM004954,2025-07-24,SCH0454,GOYAL RICE MILL,Atta,1.044,KILOGRAM,1566,Unknown,1.044,52.2
MDM005023,2025-11-29,SCH0445,KUMAR & CO.,Mustard Oil,1.134,BAGS,6804,PENDING,1.134,56.699999999999996
MDM003892,2025-07-19,SCH0076,SHARMA TRADERS PVT LTD,Mustard Oil,53.4,KILOGRAM,,PENDING,53.4,53.4
MDM011857,2025-10-16,SCH0485,KUMAR & CO.,Pulses,15000.0,GRAM,1350,Unknown,15000,15.0
MDM011989,2025-11-24,SCH0544,KUMAR SUPPLIES,Mustard Oil,36500.0,GRAM,4380,PENDING,36500,36.5
MDM000305,2025-05-01,SCH0405,SINGH BROTHERS,Rice,,,712,PAID,,
MDM005759,2025-06-23,SCH0397,GOYAL ENTERPRISES,Wheat,37.2,KILOGRAM,1116,CLEARED,37.2 kg,37.2
MDM006129,2025-11-24,SCH0561,KUMAR GENERAL STORE,Mustard Oil,59.7,KILOGRAM,7164,CLEARED,59.7 kg,59.7
MDM000812,2025-06-05,SCH0589,SINGH BROTHERS,Pulses,0.772,KILOGRAM,3474,PAID,0.772,38.6
MDM004094,2025-10-03,SCH0195,GOYAL MILL,Mustard Oil,58.4,KILOGRAM,7008,PAID,58.4 kg,58.4
MDM010724,2025-07-24,SCH0047,S. AGRO WORKS,Pulses,0.5,KILOGRAM,2250,PENDING,0.5,25.0
MDM003998,2025-07-25,SCH0210,SINGH AGRO,Rice,0.318,BAGS,636,CLEARED,0.318,15.9
MDM000248,2025-05-03,SCH0032,KUMAR & CO.,Pulses,32.6,KILOGRAM,2934,PENDING,32.6,32.6
MDM001618,2026-01-09,SCH0481,GOYAL RICE MILL,Atta,0.63,BAGS,945,Unknown,0.63,31.5
MDM000201,2025-09-14,SCH0322,SINGH BROTHERS,Wheat,39.3,KILOGRAM,1179,CLEARED,39.3 kg,39.3
MDM004908,2025-05-26,SCH0058,GOYAL ENTERPRISES,Rice,23.1,KILOGRAM,924,PAID,23.1,23.1
MDM010408,2026-02-20,SCH0167,GOYAL RICE MILL,Pulses,56500.0,GRAM,5085,PENDING,56500,56.5
MDM010543,2026-01-24,SCH0383,KUMAR SUPPLIES,Atta,39.3,KILOGRAM,1179,Unknown,39.3 kg,39.3
MDM004672,2025-05-15,SCH0376,KUMAR SUPPLIES,Rice,24.0,KILOGRAM,960,PENDING,24,24.0
MDM003488,2026-02-23,SCH0125,SINGH BROTHERS,Mustard Oil,52.6,KILOGRAM,6312,DUE,52.6 kg,52.6
MDM011677,2025-04-13,SCH0387,SINGH BROTHERS,Pulses,,,4779,PAID,,
MDM009892,2026-03-22,SCH0074,SINGH AGRO,Mustard Oil,,,6732,Unknown,,
MDM009298,2025-05-16,SCH0220,SHARMA TRADERS,Mustard Oil,51.1,KILOGRAM,6132,DUE,51.1,51.1
MDM005900,2026-01-31,SCH0514,KUMAR GENERAL STORE,Rice,56.5,KILOGRAM,,DUE,56.5,56.5
MDM003618,2025-11-18,SCH0304,GOYAL MILL,Pulses,18.4,KILOGRAM,1656,PAID,18.4,18.4
MDM003932,2026-03-12,SCH0149,KUMAR & CO.,Pulses,47700.0,GRAM,4293,PAID,47700,47.7
MDM009319,2025-11-22,SCH0253,KUMAR GENERAL STORE,Pulses,13.7,KILOGRAM,1233,PAID,13.7 kg,13.7
MDM003026,2026-01-16,SCH0271,SHARMA TRADERS,Wheat,,,681,PAID,,
MDM004411,2026-03-26,SCH0567,KUMAR SUPPLIES,Pulses,0.634,BAGS,2853,PAID,0.634,31.7
MDM001189,2025-04-13,SCH0514,SHARMA & SONS,Mustard Oil,18.2,KILOGRAM,2184,PENDING,18.2,18.2
MDM008016,2025-10-10,SCH0419,KUMAR & CO.,Pulses,45700.0,GRAM,4113,Unknown,45700,45.7
MDM004442,2025-11-04,SCH0554,GOYAL RICE MILL,Mustard Oil,30000.0,GRAM,3600,DUE,30000,30.0
MDM010944,2025-10-15,SCH0446,KUMAR SUPPLIES,Mustard Oil,12.0,KILOGRAM,1440,PAID,12,12.0
MDM002755,2025-05-20,SCH0455,SHARMA TRADERS PVT LTD,Rice,48.2,KILOGRAM,1928,Unknown,48.2,48.2
MDM002953,2026-01-22,SCH0467,GOYAL MILL,Rice,0.546,BAGS,1092,DUE,0.546,27.3
MDM007147,2026-06-03,SCH0001,KUMAR GENERAL STORE,Mustard Oil,,,2352,Unknown,,
MDM009076,2025-08-21,SCH0535,GOYAL MILL,Wheat,14.1,KILOGRAM,423,DUE,14.1 kg,14.1
MDM008395,2025-05-08,SCH0549,KUMAR & CO.,Rice,42800.0,GRAM,1712,PENDING,42800,42.8
MDM006537,2025-08-28,SCH0348,SINGH BROTHERS,Pulses,22500.0,GRAM,2025,PAID,22500,22.5
MDM010629,2025-06-14,SCH0167,SHARMA & SONS,Atta,29.6,KILOGRAM,888,PAID,29.6 kg,29.6
MDM003873,2025-11-07,SCH0344,SHARMA & SONS,Mustard Oil,37300.0,GRAM,,PENDING,37300,37.3
MDM000519,2025-07-07,SCH0406,KUMAR SUPPLIES,Wheat,,,597,PENDING,,
MDM002022,2025-05-21,SCH0454,SINGH BROTHERS,Mustard Oil,23.5,KILOGRAM,,DUE,23.5,23.5
MDM005166,2025-06-12,SCH0560,SHARMA TRADERS PVT LTD,Pulses,,,3096,DUE,,
MDM005701,2025-06-10,SCH0591,KUMAR GENERAL STORE,Rice,42.3,KILOGRAM,1692,DUE,42.3 kg,42.3
MDM001384,2025-04-11,SCH0282,SINGH BROTHERS,Wheat,37.7,KILOGRAM,1131,Unknown,37.7,37.7
MDM008377,2026-02-16,SCH0401,GOYAL RICE MILL,Rice,29.2,KILOGRAM,1168,PAID,29.2,29.2
MDM002302,2025-12-10,SCH0439,SINGH BROTHERS,Rice,52.6,KILOGRAM,2104,CLEARED,52.6 kg,52.6
MDM005009,2025-06-21,SCH0522,SHARMA TRADERS PVT LTD,Rice,14.0,KILOGRAM,560,PENDING,14,14.0
MDM007771,2025-09-26,SCH0451,GOYAL ENTERPRISES,Rice,16.4,KILOGRAM,656,PAID,16.4,16.4
MDM001218,2025-05-05,SCH0524,SHARMA & SONS,Wheat,32600.0,GRAM,978,PAID,32600,32.6
MDM008084,2026-01-10,SCH0551,GOYAL MILL,Pulses,17.7,KILOGRAM,1593,PAID,17.7,17.7
MDM001276,2025-10-28,SCH0068,GOYAL ENTERPRISES,Mustard Oil,26.7,KILOGRAM,3204,Unknown,26.7,26.7
MDM007448,2025-07-15,SCH0497,SINGH AGRO,Pulses,36.3,KILOGRAM,3267,PAID,36.3,36.3
MDM004280,2025-09-10,SCH0253,S. AGRO WORKS,Wheat,32.2,KILOGRAM,966,PENDING,32.2,32.2
MDM000971,2026-03-20,SCH0266,GOYAL MILL,Mustard Oil,0.73,BAGS,4380,PENDING,0.73,36.5
MDM008150,2025-12-16,SCH0511,GOYAL MILL,Pulses,56200.0,GRAM,5058,PAID,56200,56.2
MDM003838,2026-01-20,SCH0594,KUMAR & CO.,Rice,13.7,KILOGRAM,548,PENDING,13.7,13.7
MDM008405,2026-02-08,SCH0347,KUMAR SUPPLIES,Wheat,27.1,KILOGRAM,813,Unknown,27.1 kg,27.1
MDM003446,2025-09-26,SCH0090,KUMAR GENERAL STORE,Wheat,41800.0,GRAM,1254,PENDING,41800,41.8
MDM004771,2025-09-07,SCH0585,GOYAL MILL,Wheat,54300.0,GRAM,1629,CLEARED,54300,54.3
MDM002629,2025-08-24,SCH0300,SHARMA TRADERS,Wheat,0.276,KILOGRAM,414,PENDING,0.276,13.8
MDM005768,2025-11-19,SCH0395,SINGH BROTHERS,Pulses,1.084,BAGS,4878,PENDING,1.084,54.2
MDM007446,2025-09-10,SCH0198,GOYAL MILL,Pulses,34500.0,GRAM,3105,PENDING,34500,34.5
MDM010963,2026-01-16,SCH0294,GOYAL ENTERPRISES,Rice,0.33,BAGS,660,PENDING,0.33,16.5
MDM007782,2025-08-07,SCH0170,KUMAR GENERAL STORE,Wheat,31.9,KILOGRAM,957,PENDING,31.9 kg,31.9
MDM000614,2026-01-22,SCH0291,KUMAR GENERAL STORE,Wheat,24.5,KILOGRAM,735,DUE,24.5 kg,24.5
MDM003814,2026-03-19,SCH0337,KUMAR & CO.,Rice,,,1272,PAID,,
MDM005863,2025-08-01,SCH0021,SHARMA TRADERS,Mustard Oil,,,1524,Unknown,,
MDM010837,2026-03-04,SCH0550,GOYAL RICE MILL,Pulses,1.136,BAGS,5112,PAID,1.136,56.8
MDM010150,2026-02-22,SCH0184,SINGH AGRO,Rice,14.1,KILOGRAM,564,Unknown,14.1,14.1
MDM000430,2025-12-19,SCH0106,KUMAR & CO.,Wheat,23.8,KILOGRAM,714,PAID,23.8,23.8
MDM009129,2026-02-19,SCH0452,GOYAL RICE MILL,Pulses,34.2,KILOGRAM,3078,PAID,34.2 kg,34.2
MDM003080,2025-12-20,SCH0381,SINGH AGRO,Pulses,38.5,KILOGRAM,3465,PENDING,38.5 kg,38.5
MDM001966,2025-04-16,SCH0588,GOYAL MILL,Rice,,,1208,Unknown,,
MDM008138,2025-07-25,SCH0228,SINGH AGRO,Rice,,,1856,PENDING,,
MDM006110,2025-05-21,SCH0065,GOYAL ENTERPRISES,Pulses,0.62,BAGS,2790,PENDING,0.62,31.0
MDM001787,2025-08-26,SCH0527,KUMAR SUPPLIES,Rice,21.5,KILOGRAM,860,PAID,21.5,21.5
MDM000397,2025-10-13,SCH0200,GOYAL MILL,Mustard Oil,0.5720000000000001,KILOGRAM,3432,PENDING,0.5720000000000001,28.6
MDM006921,2025-04-26,SCH0083,GOYAL ENTERPRISES,Mustard Oil,49700.0,GRAM,5964,Unknown,49700,49.7
MDM007202,2025-10-10,SCH0348,SINGH AGRO,Rice,19.7,KILOGRAM,788,Unknown,19.7,19.7
MDM006241,2025-07-10,SCH0550,GOYAL MILL,Pulses,0.994,KILOGRAM,4473,DUE,0.9940000000000001,49.7
MDM007898,2025-09-19,SCH0040,SHARMA TRADERS PVT LTD,Wheat,11.5,KILOGRAM,345,PAID,11.5 kg,11.5
MDM008742,2025-08-10,SCH0178,GOYAL RICE MILL,Mustard Oil,25.9,KILOGRAM,3108,PENDING,25.9,25.9
MDM011027,2025-08-15,SCH0298,KUMAR SUPPLIES,Pulses,46.9,KILOGRAM,4221,DUE,46.9,46.9
MDM000748,2026-03-07,SCH0193,SHARMA & SONS,Pulses,20.2,KILOGRAM,1818,CLEARED,20.2 kg,20.2
MDM004032,2025-05-10,SCH0015,GOYAL MILL,Pulses,,,3753,PENDING,,
MDM001840,2025-06-20,SCH0253,KUMAR SUPPLIES,Mustard Oil,45.9,KILOGRAM,5508,DUE,45.9,45.9
MDM009241,2025-12-07,SCH0224,SINGH AGRO,Rice,25.1,KILOGRAM,1004,PENDING,25.1 kg,25.1
MDM009254,2025-09-24,SCH0232,S. AGRO WORKS,Pulses,,,2772,PAID,,
MDM009913,2025-08-08,SCH0311,GOYAL ENTERPRISES,Mustard Oil,,,6456,PENDING,,
MDM003843,2025-11-02,SCH0233,KUMAR GENERAL STORE,Mustard Oil,22.5,KILOGRAM,2700,PAID,22.5,22.5
MDM009141,2026-02-20,SCH0379,GOYAL RICE MILL,Rice,19300.0,GRAM,772,PAID,19300,19.3
MDM005653,2026-12-02,SCH0255,SHARMA TRADERS PVT LTD,Pulses,,,2439,PENDING,,
MDM011077,2025-07-09,SCH0587,GOYAL MILL,Mustard Oil,42.2,KILOGRAM,,Unknown,42.2,42.2
MDM005528,2025-12-29,SCH0277,KUMAR SUPPLIES,Wheat,49.8,KILOGRAM,1494,PENDING,49.8,49.8
MDM011976,2025-10-10,SCH0008,SINGH BROTHERS,Pulses,1.198,BAGS,5391,PAID,1.198,59.9
MDM002772,2025-07-08,SCH0162,KUMAR & CO.,Pulses,54.7,KILOGRAM,4923,PENDING,54.7,54.7
MDM004388,2025-06-22,SCH0154,S. AGRO WORKS,Rice,,,1056,PAID,,
MDM002902,2026-02-08,SCH0080,SINGH AGRO,Mustard Oil,23500.0,GRAM,2820,PAID,23500,23.5
MDM002465,2025-07-21,SCH0077,SINGH AGRO,Pulses,53.0,KILOGRAM,4770,PENDING,53.0 kg,53.0
MDM007700,2026-02-09,SCH0081,SINGH AGRO,Mustard Oil,34.3,KILOGRAM,4116,PENDING,34.3,34.3
MDM007554,2025-04-27,SCH0542,KUMAR SUPPLIES,Wheat,33.0,KILOGRAM,990,PENDING,33,33.0
MDM001374,2026-09-01,SCH0366,S. AGRO WORKS,Mustard Oil,,,5400,PENDING,,
MDM009028,2025-10-15,SCH0356,KUMAR & CO.,Mustard Oil,1.012,BAGS,,CLEARED,1.012,50.6
MDM001154,2026-01-18,SCH0221,SHARMA TRADERS,Pulses,29.5,KILOGRAM,2655,PAID,29.5 kg,29.5
MDM009025,2026-02-23,SCH0548,S. AGRO WORKS,Rice,27.0,KILOGRAM,1080,PENDING,27,27.0
MDM003205,2025-06-21,SCH0226,KUMAR SUPPLIES,Mustard Oil,0.394,KILOGRAM,2364,CLEARED,0.394,19.7
MDM005008,2025-07-02,SCH0059,KUMAR GENERAL STORE,Rice,37.0,KILOGRAM,1480,PENDING,37,37.0
MDM000219,2025-09-26,SCH0517,SINGH AGRO,Mustard Oil,,,6948,PAID,,
MDM001143,2026-01-24,SCH0499,S. AGRO WORKS,Wheat,52.1,KILOGRAM,1563,PAID,52.1 kg,52.1
MDM007106,2025-06-05,SCH0102,SHARMA TRADERS PVT LTD,Pulses,,,5094,PENDING,,
MDM011378,2025-08-14,SCH0179,SHARMA TRADERS,Mustard Oil,45700.0,GRAM,5484,PENDING,45700,45.7
MDM011113,2026-03-16,SCH0443,SINGH BROTHERS,Rice,30400.0,GRAM,1216,PAID,30400,30.4
MDM009449,2026-03-16,SCH0372,SINGH AGRO,Rice,0.39,BAGS,780,PENDING,0.39,19.5
MDM007601,2026-06-02,SCH0504,SHARMA & SONS,Rice,0.7959999999999999,KILOGRAM,1592,CLEARED,0.7959999999999999,39.8
MDM011139,2026-02-18,SCH0020,SHARMA TRADERS,Pulses,31100.0,GRAM,2799,PAID,31100,31.1
MDM004336,2026-01-11,SCH0079,SHARMA & SONS,Pulses,32.9,KILOGRAM,2961,DUE,32.9 kg,32.9
MDM005400,2025-05-05,SCH0041,GOYAL MILL,Mustard Oil,54.0,KILOGRAM,,DUE,54,54.0
MDM010937,2025-07-27,SCH0239,GOYAL RICE MILL,Rice,25.3,KILOGRAM,1012,PAID,25.3 kg,25.3
MDM008996,2025-09-06,SCH0203,SHARMA TRADERS,Wheat,0.912,KILOGRAM,1368,PAID,0.912,45.6
MDM007616,2025-07-30,SCH0564,GOYAL ENTERPRISES,Pulses,34500.0,GRAM,3105,PAID,34500,34.5
MDM001714,2026-06-01,SCH0589,KUMAR SUPPLIES,Wheat,,,,PAID,,
MDM008244,2025-11-09,SCH0595,GOYAL MILL,Atta,0.502,BAGS,753,PENDING,0.502,25.1
MDM009279,2025-07-26,SCH0384,SINGH BROTHERS,Mustard Oil,22000.0,GRAM,2640,CLEARED,22000,22.0
MDM002334,2025-12-12,SCH0318,KUMAR & CO.,Pulses,,,2466,PAID,,
MDM008876,2025-04-18,SCH0144,S. AGRO WORKS,Wheat,,,510,PENDING,,
MDM011298,2025-04-13,SCH0574,SHARMA & SONS,Wheat,0.348,BAGS,522,PENDING,0.348,17.4
MDM006621,2025-07-26,SCH0150,S. AGRO WORKS,Rice,24500.0,GRAM,980,CLEARED,24500,24.5
MDM002565,2025-10-11,SCH0259,SINGH BROTHERS,Rice,38.7,KILOGRAM,1548,Unknown,38.7,38.7
MDM010508,2025-04-12,SCH0578,SHARMA TRADERS PVT LTD,Mustard Oil,,,4824,PAID,,
MDM003795,2025-09-05,SCH0595,GOYAL RICE MILL,Wheat,51800.0,GRAM,1554,PENDING,51800,51.8
MDM006302,2025-10-29,SCH0225,SINGH AGRO,Rice,,,,PAID,,
MDM010965,2025-06-29,SCH0222,SHARMA & SONS,Rice,25800.0,GRAM,1032,PENDING,25800,25.8
MDM006190,2025-12-27,SCH0155,KUMAR GENERAL STORE,Mustard Oil,43.2,KILOGRAM,5184,PAID,43.2 kg,43.2
MDM003753,2025-09-11,SCH0343,GOYAL RICE MILL,Rice,0.56,KILOGRAM,1120,Unknown,0.56,28.000000000000004
MDM008526,2025-07-26,SCH0327,SINGH AGRO,Rice,,,1012,PAID,,
MDM006703,2025-12-27,SCH0168,SHARMA TRADERS,Pulses,53300.0,GRAM,4797,PAID,53300,53.3
MDM004101,2025-08-24,SCH0056,SINGH BROTHERS,Mustard Oil,16.5,KILOGRAM,1980,PAID,16.5,16.5
MDM000136,2026-01-13,SCH0206,SHARMA TRADERS PVT LTD,Mustard Oil,55.9,KILOGRAM,6708,PAID,55.9,55.9
MDM011912,2025-04-26,SCH0561,KUMAR SUPPLIES,Pulses,49.6,KILOGRAM,4464,CLEARED,49.6,49.6
MDM008652,2026-01-24,SCH0496,SHARMA TRADERS PVT LTD,Mustard Oil,,,1272,PENDING,,
MDM000980,2025-05-13,SCH0562,SHARMA TRADERS PVT LTD,Atta,20.3,KILOGRAM,,PAID,20.3 kg,20.3
MDM002928,2025-08-13,SCH0115,KUMAR & CO.,Mustard Oil,53.9,KILOGRAM,6468,PENDING,53.9,53.9
MDM000009,2025-09-23,SCH0248,SINGH BROTHERS,Rice,22500.0,GRAM,900,DUE,22500,22.5
MDM003232,2025-04-24,SCH0560,KUMAR GENERAL STORE,Pulses,1.086,BAGS,4887,PENDING,1.086,54.300000000000004
MDM008840,2025-09-15,SCH0503,SHARMA TRADERS PVT LTD,Pulses,56.3,KILOGRAM,5067,PENDING,56.3 kg,56.3
MDM000380,2026-01-31,SCH0137,GOYAL MILL,Rice,39.6,KILOGRAM,1584,PENDING,39.6 kg,39.6
MDM002389,2025-07-30,SCH0519,GOYAL RICE MILL,Pulses,44.2,KILOGRAM,3978,DUE,44.2 kg,44.2
MDM006673,2026-03-16,SCH0265,GOYAL RICE MILL,Mustard Oil,46.6,KILOGRAM,5592,PENDING,46.6,46.6
MDM007403,2026-03-17,SCH0032,GOYAL MILL,Atta,21100.0,GRAM,633,PAID,21100,21.1
MDM006560,2025-10-26,SCH0348,GOYAL ENTERPRISES,Mustard Oil,21400.0,GRAM,2568,Unknown,21400,21.4
MDM007294,2025-04-28,SCH0501,GOYAL MILL,Wheat,1.072,BAGS,,DUE,1.072,53.6
MDM010114,2026-01-13,SCH0277,GOYAL MILL,Wheat,58.9,KILOGRAM,1767,Unknown,58.9,58.9
MDM002352,2025-09-13,SCH0427,SINGH BROTHERS,Pulses,40.5,KILOGRAM,3645,CLEARED,40.5,40.5
MDM011134,2025-09-10,SCH0166,S. AGRO WORKS,Wheat,25.3,KILOGRAM,759,PENDING,25.3 kg,25.3
