record_id,date,school_id,grade,total_students,present_students,teacher_present,marked_by,attendance_anomaly,attendance_rate,proxy_attendance_anomaly
ATT0013099,2025-10-09,SCH0194,8,129,122,1,,False,94.57364341085271,False
ATT0019041,2025-04-15,SCH0210,2,89,65,1,HEADMASTER,False,73.03370786516854,False
ATT0018193,2026-02-24,SCH0486,7,84,69,0,CLERK,False,82.14285714285714,False
ATT0001088,2025-05-16,SCH0038,6,115,80,1,CLERK,False,69.56521739130434,False
ATT0013698,2025-07-08,SCH0061,2,143,126,0,ADMIN,False,88.11188811188812,False
ATT0019226,2026-03-19,SCH0507,6,252,153,1,CLERK,False,60.71428571428571,False
ATT0005763,2025-06-13,SCH0535,4,139,124,1,HM,False,89.20863309352518,False
ATT0008627,2025-11-20,SCH0042,3,236,162,1,ADMIN,False,68.64406779661016,False
ATT0016608,2025-06-16,SCH0539,4,270,163,1,HM,False,60.370370370370374,False
ATT0016748,2025-05-13,SCH0550,8,257,249,1,HEADMASTER,False,96.88715953307393,False
ATT0014371,2026-01-14,SCH0351,7,293,198,1,HM,False,67.57679180887372,False
ATT0006789,2025-05-21,SCH0537,10,238,196,1,HM,False,82.35294117647058,False
ATT0019295,2026-02-19,SCH0256,3,76,73,1,CLERK,False,96.05263157894737,False
ATT0015631,2026-02-26,SCH0527,6,250,201,1,,False,80.4,False
ATT0003352,2025-06-24,SCH0558,4,177,109,1,CLERK,False,61.5819209039548,False
ATT0013112,2026-03-27,SCH0014,4,184,122,1,CLERK,False,66.30434782608695,False
ATT0000342,2026-03-23,SCH0024,4,233,204,1,CLASS TEACHER,False,87.55364806866953,False
ATT0002381,2025-06-12,SCH0012,1,78,47,1,CLERK,False,60.256410256410255,False
ATT0014806,2025-04-07,SCH0437,9,114,72,1,HM,False,63.1578947368421,False
ATT0014906,2026-08-02,SCH0488,1,174,168,1,ADMIN,False,96.55172413793103,False
ATT0017596,2025-06-23,SCH0317,2,259,250,1,ADMIN,False,96.52509652509652,False
ATT0008727,2026-02-24,SCH0024,7,138,86,0,,False,62.31884057971014,False
ATT0016450,2026-03-22,SCH0596,3,236,236,1,CLASS TEACHER,False,100.0,True
ATT0002306,2025-11-10,SCH0271,3,45,41,0,HM,False,91.11111111111111,False
ATT0012052,2026-02-06,SCH0367,4,289,188,1,CLASS TEACHER,False,65.05190311418684,False
ATT0003480,2025-05-20,SCH0295,3,147,97,1,CLERK,False,65.98639455782312,False
ATT0009137,2026-02-17,SCH0139,1,173,152,0,CLERK,False,87.86127167630057,False
ATT0007525,2025-12-13,SCH0206,9,261,188,1,,False,72.03065134099617,False
ATT0010353,2025-06-12,SCH0289,3,131,82,1,,False,62.59541984732825,False
ATT0012107,2025-04-13,SCH0172,1,214,214,1,CLASS TEACHER,False,100.0,True
ATT0015379,2025-05-12,SCH0246,4,84,80,1,ADMIN,False,95.23809523809523,False
ATT0019606,2025-08-05,SCH0392,10,55,42,1,,False,76.36363636363637,False
ATT0016832,2025-11-18,SCH0031,10,61,40,1,CLERK,False,65.57377049180327,False
ATT0013190,2025-09-19,SCH0450,1,156,156,1,CLERK,False,100.0,False
ATT0003799,2026-11-01,SCH0225,1,92,104,1,CLERK,True,113.04347826086956,False
ATT0015816,2025-05-04,SCH0380,8,187,187,1,CLASS TEACHER,False,100.0,True
ATT0019080,2025-07-23,SCH0107,5,190,179,1,HEADMASTER,False,94.21052631578948,False
ATT0016929,2025-09-09,SCH0038,3,279,227,1,CLERK,False,81.36200716845879,False
ATT0003669,2025-11-24,SCH0048,5,299,244,1,HEADMASTER,False,81.60535117056857,False
ATT0018433,2025-09-08,SCH0452,4,134,93,1,HM,False,69.40298507462687,False
ATT0006326,2025-11-21,SCH0366,3,63,58,1,HM,False,92.06349206349206,False
ATT0013584,2025-11-30,SCH0068,4,64,64,1,,False,100.0,True
ATT0000134,2026-02-26,SCH0036,5,83,50,1,HEADMASTER,False,60.24096385542169,False
ATT0013830,2026-02-07,SCH0124,5,197,152,0,HEADMASTER,False,77.15736040609137,False
ATT0013856,2025-04-21,SCH0448,8,177,138,,HM,False,77.96610169491525,False
ATT0003779,2025-04-25,SCH0040,2,129,91,0,CLASS TEACHER,False,70.54263565891473,False
ATT0000386,2025-04-16,SCH0105,2,132,119,1,HEADMASTER,False,90.15151515151516,False
ATT0012462,2025-08-12,SCH0032,6,183,143,0,,False,78.14207650273224,False
ATT0011447,2025-05-09,SCH0097,4,46,38,1,ADMIN,False,82.6086956521739,False
ATT0002172,2025-07-14,SCH0004,2,298,229,,HEADMASTER,False,76.84563758389261,False
ATT0019703,2025-11-08,SCH0141,2,248,200,1,ADMIN,False,80.64516129032258,False
ATT0015261,2025-09-21,SCH0048,2,166,166,,HM,False,100.0,True
ATT0005663,2025-07-28,SCH0328,10,60,44,1,CLERK,False,73.33333333333333,False
ATT0001356,2025-06-27,SCH0523,3,60,39,1,HEADMASTER,False,65.0,False
ATT0002086,2025-11-22,SCH0334,5,240,233,1,,False,97.08333333333333,False
ATT0019163,2025-09-27,SCH0008,3,196,189,1,CLERK,False,96.42857142857143,False
ATT0010361,2025-08-21,SCH0180,7,188,134,1,,False,71.27659574468085,False
ATT0011548,2025-07-04,SCH0155,3,271,224,1,CLERK,False,82.65682656826569,False
ATT0002387,2025-12-05,SCH0412,1,203,141,1,ADMIN,False,69.45812807881774,False
ATT0012785,2025-04-26,SCH0193,10,156,114,1,ADMIN,False,73.07692307692307,False
ATT0000475,2025-11-14,SCH0377,3,292,204,0,CLASS TEACHER,False,69.86301369863014,False
ATT0003435,2025-12-26,SCH0067,8,63,57,1,ADMIN,False,90.47619047619048,False
ATT0005306,2025-04-04,SCH0249,5,256,205,1,CLASS TEACHER,False,80.078125,False
ATT0008088,2025-12-05,SCH0552,5,198,175,1,HEADMASTER,False,88.38383838383838,False
ATT0004843,2025-06-06,SCH0075,7,143,99,1,HM,False,69.23076923076923,False
ATT0013436,2026-02-16,SCH0329,10,70,53,1,HM,False,75.71428571428571,False
ATT0007882,2025-11-21,SCH0136,6,137,145,1,HM,True,105.83941605839415,False
ATT0006291,2025-11-04,SCH0361,2,228,164,1,ADMIN,False,71.9298245614035,False
ATT0012561,2026-02-16,SCH0128,3,106,106,1,CLASS TEACHER,False,100.0,False
ATT0002504,2026-11-02,SCH0092,4,209,165,0,CLASS TEACHER,False,78.94736842105263,False
ATT0007290,2025-02-10,SCH0271,1,185,145,1,HM,False,78.37837837837837,False
ATT0015715,2025-12-24,SCH0348,3,67,52,1,HEADMASTER,False,77.61194029850746,False
ATT0016429,2025-11-02,SCH0488,6,41,41,1,CLASS TEACHER,False,100.0,True
ATT0000745,2025-05-31,SCH0584,8,166,112,1,,False,67.46987951807229,False
ATT0017944,2026-03-16,SCH0372,8,239,188,1,HM,False,78.66108786610879,False
ATT0017881,2025-06-02,SCH0493,5,240,208,1,HEADMASTER,False,86.66666666666667,False
ATT0015453,2025-06-30,SCH0202,9,56,69,1,CLERK,True,123.21428571428572,False
ATT0010552,2025-10-18,SCH0382,3,290,252,1,CLERK,False,86.89655172413792,False
ATT0019746,2025-11-16,SCH0597,10,119,119,1,HEADMASTER,False,100.0,True
ATT0002326,2025-11-19,SCH0168,1,132,127,1,CLERK,False,96.21212121212122,False
ATT0009961,2026-03-11,SCH0118,8,155,105,0,CLERK,False,67.74193548387096,False
ATT0018383,2025-08-30,SCH0532,5,205,192,1,HM,False,93.65853658536587,False
ATT0016506,2025-09-20,SCH0469,9,46,31,1,HM,False,67.3913043478261,False
ATT0012139,2026-01-25,SCH0417,5,160,176,1,HEADMASTER,True,110.00000000000001,False
ATT0016665,2025-04-21,SCH0575,4,169,114,1,ADMIN,False,67.45562130177515,False
ATT0017392,2025-06-04,SCH0303,2,270,270,,CLASS TEACHER,False,100.0,False
ATT0001167,2025-11-01,SCH0540,3,244,178,1,HM,False,72.95081967213115,False
ATT0009962,2025-07-23,SCH0082,5,277,177,1,CLASS TEACHER,False,63.898916967509024,False
ATT0006135,2025-08-13,SCH0389,10,162,155,1,CLERK,False,95.67901234567901,False
ATT0009816,2026-02-06,SCH0032,1,239,146,1,ADMIN,False,61.08786610878661,False
ATT0005672,2026-03-21,SCH0012,5,182,151,1,HM,False,82.96703296703298,False
ATT0006798,2025-08-14,SCH0549,2,121,79,1,,False,65.28925619834712,False
ATT0007859,2026-01-17,SCH0362,7,192,149,0,CLASS TEACHER,False,77.60416666666666,False
ATT0011552,2025-07-04,SCH0102,6,144,117,1,CLASS TEACHER,False,81.25,False
ATT0018220,2025-07-05,SCH0217,3,49,32,1,CLASS TEACHER,False,65.3061224489796,False
ATT0007537,2026-02-28,SCH0464,4,115,101,1,HEADMASTER,False,87.82608695652175,False
ATT0017089,2025-04-12,SCH0133,8,136,122,0,CLASS TEACHER,False,89.70588235294117,False
ATT0008467,2025-04-27,SCH0297,8,299,232,0,CLERK,False,77.59197324414716,False
ATT0017746,2026-03-28,SCH0083,5,287,205,1,CLASS TEACHER,False,71.42857142857143,False
ATT0011454,2025-10-14,SCH0547,1,261,252,0,CLERK,False,96.55172413793103,False
ATT0004950,2025-06-23,SCH0486,5,70,57,1,HEADMASTER,False,81.42857142857143,False
ATT0013625,2025-12-28,SCH0344,1,225,165,1,CLERK,False,73.33333333333333,False
ATT0019973,2025-04-17,SCH0292,1,161,139,1,CLASS TEACHER,False,86.33540372670807,False
ATT0012615,2025-10-21,SCH0318,8,258,157,1,HEADMASTER,False,60.85271317829457,False
ATT0004439,2026-03-31,SCH0532,5,135,120,0,CLERK,False,88.88888888888889,False
ATT0006632,2025-10-28,SCH0136,6,161,126,1,CLASS TEACHER,False,78.26086956521739,False
ATT0002752,2025-07-10,SCH0234,2,221,174,0,CLASS TEACHER,False,78.73303167420815,False
ATT0016471,2025-10-15,SCH0235,1,297,267,1,CLERK,False,89.8989898989899,False
ATT0006557,2025-11-08,SCH0538,3,142,159,1,CLASS TEACHER,True,111.9718309859155,False
,2026-03-23,SCH0565,9,138,115,1,CLERK,False,83.33333333333334,False
ATT0016793,2025-08-08,SCH0019,8,135,99,1,HM,False,73.33333333333333,False
ATT0005422,2025-12-27,SCH0255,4,161,145,1,CLASS TEACHER,False,90.06211180124224,False
ATT0011991,2025-08-23,SCH0309,7,69,65,1,,False,94.20289855072464,False
ATT0000564,2025-04-29,SCH0441,2,166,166,1,ADMIN,False,100.0,False
,2025-06-12,SCH0231,3,128,139,1,CLERK,True,108.59375,False
ATT0009691,2025-07-29,SCH0283,1,57,41,,HM,False,71.9298245614035,False
ATT0018752,2025-04-05,SCH0079,5,155,155,1,HEADMASTER,False,100.0,False
ATT0013496,2025-10-05,SCH0076,5,59,59,1,ADMIN,False,100.0,True
ATT0004220,2025-04-20,SCH0458,3,131,131,1,CLASS TEACHER,False,100.0,True
,2025-08-04,SCH0406,1,273,214,1,HM,False,78.3882783882784,False
ATT0006358,2025-10-13,SCH0333,2,221,214,1,ADMIN,False,96.83257918552036,False
ATT0004548,2025-02-04,SCH0162,1,293,278,1,,False,94.88054607508532,False
,2025-07-09,SCH0322,8,202,202,1,CLERK,False,100.0,False
ATT0002938,2025-08-13,SCH0575,5,204,156,0,CLERK,False,76.47058823529412,False
ATT0016043,2025-10-16,SCH0463,9,255,165,1,ADMIN,False,64.70588235294117,False
ATT0009359,2026-03-25,SCH0284,4,257,229,0,ADMIN,False,89.10505836575877,False
ATT0013079,2025-06-20,SCH0210,1,54,40,0,,False,74.07407407407408,False
ATT0015003,2026-01-01,SCH0120,2,196,176,1,HEADMASTER,False,89.79591836734694,False
ATT0019801,2025-10-20,SCH0550,8,196,165,1,ADMIN,False,84.18367346938776,False
ATT0005377,2025-04-11,SCH0303,2,76,53,1,HM,False,69.73684210526315,False
ATT0005478,2026-08-02,SCH0305,1,209,225,1,HEADMASTER,True,107.65550239234449,False
ATT0019212,2025-11-29,SCH0145,10,246,246,1,CLERK,False,100.0,False
ATT0017465,2025-07-10,SCH0034,5,227,196,1,HM,False,86.34361233480176,False
ATT0003949,2025-10-16,SCH0298,3,236,218,1,HEADMASTER,False,92.37288135593221,False
ATT0008542,2025-09-29,SCH0161,2,137,101,,CLERK,False,73.72262773722628,False
ATT0008118,2025-06-12,SCH0028,2,300,225,1,HEADMASTER,False,75.0,False
ATT0000777,2026-11-01,SCH0167,5,209,151,1,CLASS TEACHER,False,72.24880382775119,False
ATT0016135,2025-07-27,SCH0580,7,51,51,1,HEADMASTER,False,100.0,True
ATT0004731,2025-04-07,SCH0574,4,98,72,1,HEADMASTER,False,73.46938775510205,False
ATT0006219,2025-08-13,SCH0192,4,203,125,1,ADMIN,False,61.57635467980296,False
ATT0015102,2025-05-30,SCH0093,5,212,157,1,CLASS TEACHER,False,74.05660377358491,False
ATT0003001,2025-11-16,SCH0533,8,168,168,1,ADMIN,False,100.0,True
ATT0005863,2026-01-26,SCH0014,5,77,49,1,ADMIN,False,63.63636363636363,False
ATT0018506,2026-03-22,SCH0548,3,125,102,0,CLASS TEACHER,False,81.6,False
ATT0009615,2025-04-04,SCH0391,7,112,68,0,,False,60.71428571428571,False
ATT0013003,2025-03-05,SCH0316,3,45,42,0,,False,93.33333333333333,False
ATT0011128,2025-08-19,SCH0445,8,106,74,,HEADMASTER,False,69.81132075471697,False
ATT0002120,2025-12-02,SCH0191,5,90,90,1,CLASS TEACHER,False,100.0,False
ATT0017627,2025-08-22,SCH0475,5,252,191,1,,False,75.79365079365078,False
ATT0016319,2025-06-07,SCH0061,4,119,99,1,CLERK,False,83.19327731092437,False
ATT0002754,2025-04-21,SCH0106,4,237,155,1,CLASS TEACHER,False,65.40084388185655,False
ATT0016898,2025-09-05,SCH0106,3,51,37,1,,False,72.54901960784314,False
ATT0004521,2025-08-30,SCH0490,2,95,76,1,,False,80.0,False
ATT0002458,2025-06-11,SCH0060,9,93,74,1,CLERK,False,79.56989247311827,False
ATT0013853,2025-12-29,SCH0382,1,180,126,0,CLERK,False,70.0,False
ATT0008482,2025-06-04,SCH0071,8,108,80,1,CLERK,False,74.07407407407408,False
ATT0012100,2025-03-10,SCH0423,7,127,91,0,ADMIN,False,71.65354330708661,False
ATT0011960,2025-10-23,SCH0438,7,212,133,1,CLERK,False,62.735849056603776,False
ATT0008070,2025-05-05,SCH0299,4,159,102,1,CLERK,False,64.15094339622641,False
ATT0007257,2025-08-04,SCH0076,7,268,222,1,HEADMASTER,False,82.83582089552239,False
ATT0009490,2025-06-25,SCH0397,2,229,240,1,ADMIN,True,104.80349344978166,False
ATT0014936,2025-02-07,SCH0148,4,228,219,1,CLASS TEACHER,False,96.05263157894737,False
ATT0014130,2025-06-27,SCH0168,5,66,63,1,ADMIN,False,95.45454545454545,False
ATT0018191,2025-04-19,SCH0157,6,79,79,1,HEADMASTER,False,100.0,False
ATT0016328,2025-07-07,SCH0085,4,93,69,0,HM,False,74.19354838709677,False
ATT0015663,2026-03-19,SCH0041,5,186,145,1,ADMIN,False,77.95698924731182,False
ATT0015364,2025-12-13,SCH0308,7,276,213,1,HEADMASTER,False,77.17391304347827,False
ATT0013039,2025-06-12,SCH0571,4,225,158,1,CLERK,False,70.22222222222221,False
ATT0003283,2025-11-01,SCH0068,8,91,64,0,CLERK,False,70.32967032967034,False
ATT0012182,2026-03-22,SCH0470,1,68,68,1,ADMIN,False,100.0,True
ATT0004983,2025-07-20,SCH0263,4,89,76,1,HM,False,85.39325842696628,False
ATT0009503,2025-06-17,SCH0141,5,205,198,,CLASS TEACHER,False,96.58536585365853,False
ATT0003406,2026-04-03,SCH0042,1,240,225,1,CLERK,False,93.75,False
ATT0003959,2026-03-10,SCH0461,3,74,57,1,CLASS TEACHER,False,77.02702702702703,False
ATT0017342,2025-10-15,SCH0403,4,102,111,0,CLERK,True,108.8235294117647,False
ATT0009179,2025-06-27,SCH0466,5,272,230,1,ADMIN,False,84.55882352941177,False
ATT0002268,2025-09-19,SCH0139,7,45,28,1,CLERK,False,62.22222222222222,False
ATT0013127,2025-06-06,SCH0287,3,224,192,1,ADMIN,False,85.71428571428571,False
ATT0013335,2025-04-14,SCH0092,2,219,138,1,,False,63.013698630136986,False
ATT0014774,2025-11-10,SCH0355,6,42,36,1,CLERK,False,85.71428571428571,False
ATT0010369,2025-05-31,SCH0206,10,122,98,1,HM,False,80.32786885245902,False
ATT0007224,2025-10-05,SCH0239,3,268,242,1,,False,90.29850746268657,False
ATT0018308,2025-09-23,SCH0188,1,246,150,1,,False,60.97560975609756,False
,2025-10-20,SCH0332,2,195,189,,ADMIN,False,96.92307692307692,False
ATT0018556,2026-03-28,SCH0053,1,108,89,,HM,False,82.4074074074074,False
ATT0002486,2025-12-29,SCH0120,4,215,171,1,ADMIN,False,79.53488372093022,False
ATT0017100,2025-08-24,SCH0163,5,216,184,1,CLASS TEACHER,False,85.18518518518519,False
ATT0016223,2025-12-30,SCH0289,5,131,82,1,HEADMASTER,False,62.59541984732825,False
ATT0004881,2025-07-12,SCH0208,5,185,147,1,HM,False,79.45945945945945,False
ATT0016299,2025-07-07,SCH0473,5,171,144,1,CLERK,False,84.21052631578947,False
ATT0011867,2026-03-19,SCH0124,2,93,72,,CLERK,False,77.41935483870968,False
ATT0007276,2025-09-12,SCH0007,3,138,90,1,CLERK,False,65.21739130434783,False
ATT0014291,2025-07-04,SCH0001,1,202,158,1,ADMIN,False,78.21782178217822,False
ATT0014519,2025-05-04,SCH0475,7,218,218,1,HEADMASTER,False,100.0,True
ATT0005526,2025-07-09,SCH0376,3,133,133,1,,False,100.0,False
ATT0018711,2025-05-17,SCH0307,8,285,257,1,HM,False,90.17543859649123,False
ATT0009688,2026-03-13,SCH0110,2,297,198,0,ADMIN,False,66.66666666666666,False
ATT0000409,2025-04-16,SCH0173,5,260,191,1,ADMIN,False,73.46153846153847,False
ATT0008733,2026-02-21,SCH0256,1,64,41,1,,False,64.0625,False
ATT0001098,2025-09-06,SCH0507,1,228,187,1,HM,False,82.01754385964912,False
ATT0010787,2025-07-18,SCH0479,9,188,168,1,CLASS TEACHER,False,89.36170212765957,False
ATT0010978,2025-04-15,SCH0118,4,292,307,1,CLERK,True,105.13698630136987,False
ATT0003935,2025-12-17,SCH0317,2,47,29,1,ADMIN,False,61.702127659574465,False
ATT0010372,2025-12-05,SCH0516,2,75,53,0,CLERK,False,70.66666666666667,False
,2025-04-26,SCH0219,4,257,214,1,CLERK,False,83.26848249027238,False
ATT0007246,2025-10-12,SCH0063,9,52,52,1,ADMIN,False,100.0,True
ATT0019319,2026-03-24,SCH0508,2,277,262,1,CLASS TEACHER,False,94.58483754512635,False
ATT0001494,2025-02-12,SCH0562,10,80,80,,HEADMASTER,False,100.0,False
ATT0015581,2026-10-01,SCH0134,6,95,64,1,CLASS TEACHER,False,67.36842105263158,False
ATT0018410,2025-10-14,SCH0497,8,96,62,0,HEADMASTER,False,64.58333333333334,False
ATT0007410,2025-07-27,SCH0285,4,86,86,1,,False,100.0,True
ATT0011571,2025-12-11,SCH0143,2,299,215,1,,False,71.90635451505017,False
ATT0002827,2026-09-01,SCH0171,1,57,55,1,CLERK,False,96.49122807017544,False
ATT0012796,2025-08-20,SCH0074,5,105,73,1,CLASS TEACHER,False,69.52380952380952,False
ATT0004985,2025-11-19,SCH0290,2,137,101,1,CLASS TEACHER,False,73.72262773722628,False
ATT0004974,2025-06-01,SCH0201,10,202,126,,HEADMASTER,False,62.37623762376238,False
ATT0013885,2025-07-08,SCH0448,3,225,159,,CLASS TEACHER,False,70.66666666666667,False
ATT0002618,2025-10-20,SCH0599,4,74,46,1,,False,62.16216216216216,False
ATT0003770,2025-05-05,SCH0574,4,232,191,0,,False,82.32758620689656,False
ATT0016028,2026-02-15,SCH0276,3,149,155,1,CLERK,True,104.02684563758389,False
ATT0004192,2026-02-26,SCH0128,4,53,42,1,HM,False,79.24528301886792,False
ATT0012701,2025-04-06,SCH0251,9,266,266,1,CLERK,False,100.0,True
ATT0010141,2025-04-09,SCH0546,4,174,152,1,HEADMASTER,False,87.35632183908046,False
ATT0019390,2025-09-10,SCH0002,1,255,172,1,HM,False,67.45098039215686,False
ATT0010040,2025-05-26,SCH0053,10,121,73,1,ADMIN,False,60.33057851239669,False
ATT0000721,2025-06-19,SCH0090,4,40,38,1,HM,False,95.0,False
ATT0018126,2025-01-05,SCH0075,5,197,151,1,ADMIN,False,76.6497461928934,False
ATT0017456,2025-12-15,SCH0415,2,75,69,1,,False,92.0,False
ATT0011800,2025-12-08,SCH0118,9,157,113,1,CLASS TEACHER,False,71.97452229299363,False
ATT0011844,2025-11-14,SCH0266,8,289,181,1,HM,False,62.629757785467135,False
ATT0019838,2025-06-05,SCH0389,2,185,120,0,ADMIN,False,64.86486486486487,False
ATT0000937,2026-03-26,SCH0173,4,144,103,0,CLASS TEACHER,False,71.52777777777779,False
ATT0002993,2025-09-20,SCH0058,2,94,82,1,ADMIN,False,87.2340425531915,False
ATT0003734,2025-05-15,SCH0060,6,259,212,,,False,81.85328185328186,False
ATT0013532,2026-05-01,SCH0476,8,171,127,1,HM,False,74.26900584795322,False
ATT0018231,2025-10-27,SCH0223,1,108,103,1,CLERK,False,95.37037037037037,False
ATT0001007,2025-04-17,SCH0121,2,170,121,1,CLASS TEACHER,False,71.17647058823529,False
ATT0012726,2025-08-07,SCH0291,2,296,256,1,,False,86.48648648648648,False
ATT0002519,2026-03-10,SCH0496,3,118,78,1,ADMIN,False,66.10169491525424,False
ATT0003249,2025-05-14,SCH0447,8,299,211,1,,False,70.5685618729097,False
ATT0011119,2025-05-07,SCH0593,5,239,250,1,ADMIN,True,104.60251046025104,False
ATT0015016,2025-11-09,SCH0229,8,153,147,1,ADMIN,False,96.07843137254902,False
ATT0013195,2025-09-22,SCH0481,5,223,166,1,,False,74.43946188340807,False
ATT0008510,2025-08-07,SCH0055,2,168,131,1,HM,False,77.97619047619048,False
