school_id,school_name,district,block,total_enrolled_students,school_type,medium
SCH0210,Govt. Primary School Barman,FEROZEPUR,Zira,250,HIGHER SECONDARY,HINDI
SCH0025,Govt. Elementary School Tella,LUDHIANA,Ludhiana-I,425,UPPER PRIMARY,PUNJABI
SCH0479,Govt. Primary School Tank,MOGA,Moga-I,257,HIGHER SECONDARY,HINDI
SCH0369,Govt. Senior Secondary School Naik,PATIALA,Rajpura,193,PRIMARY,PUNJABI
SCH0362,Govt. Elementary School Sinha,FEROZEPUR,Zira,67,UPPER PRIMARY,HINDI
SCH0364,Govt. Primary School Chowdhury,LUDHIANA,Machhiwara,84,HIGHER SECONDARY,ENGLISH
SCH0469,Govt. Middle School Gera,LUDHIANA,Ludhiana-II,265,PRIMARY,HINDI
SCH0071,Govt. Elementary School Comar,BATHINDA,Rampura Phul,165,PRIMARY,PUNJABI
SCH0353,Govt. Elementary School Parikh,FEROZEPUR,Ferozepur,212,UPPER PRIMARY,PUNJABI
SCH0177,Govt. Middle School Manne,MOGA,Moga-II,294,SECONDARY,PUNJABI
SCH0370,Govt. Primary School Pant,JALANDHAR,Jalandhar-II,148,UPPER PRIMARY,PUNJABI
SCH0061,Govt. Elementary School Dhawan,LUDHIANA,Machhiwara,343,PRIMARY,PUNJABI
SCH0600,Govt. Primary School Sandhu,AMRITSAR,Ajnala,193,SECONDARY,ENGLISH
SCH0102,Govt. Middle School Kakar,LUDHIANA,Ludhiana-II,249,UPPER PRIMARY,PUNJABI
SCH0204,Govt. Middle School Singhal,AMRITSAR,Amritsar-II,89,SECONDARY,HINDI
SCH0091,Govt. Middle School Soman,MOGA,Nihal Singh Wala,210,PRIMARY,PUNJABI
SCH0540,Govt. Elementary School Dugal,PATIALA,Patiala,288,PRIMARY,HINDI
SCH0471,Govt. Elementary School Chad,SANGRUR,,285,UPPER PRIMARY,PUNJABI
SCH0568,Govt. Primary School Zachariah,AMRITSAR,,141,HIGHER SECONDARY,HINDI
SCH0030,Govt. Elementary School Kar,MOGA,Bagha Purana,144,SECONDARY,ENGLISH
SCH0111,Govt. Middle School Butala,BATHINDA,Maur,350,UPPER PRIMARY,HINDI
SCH0510,Govt. Middle School Kant,BATHINDA,Talwandi Sabo,363,UPPER PRIMARY,HINDI
SCH0213,Govt. Elementary School Bhatt,BATHINDA,Maur,192,UPPER PRIMARY,ENGLISH
SCH0545,Govt. Elementary School Prabhakar,FEROZEPUR,Ferozepur,432,SECONDARY,HINDI
SCH0323,Govt. Middle School Kapoor,MOGA,Moga-I,295,UPPER PRIMARY,HINDI
SCH0290,Govt. Primary School Mander,JALANDHAR,Phillaur,187,SECONDARY,PUNJABI
SCH0530,Govt. Middle School Kata,PATIALA,Patiala,160,SECONDARY,PUNJABI
SCH0463,Govt. Primary School Rajagopalan,BATHINDA,Maur,277,PRIMARY,HINDI
SCH0453,Govt. Primary School Mahal,,Ludhiana-II,103,HIGHER SECONDARY,ENGLISH
SCH0156,Govt. Elementary School Barad,FEROZEPUR,Zira,344,PRIMARY,ENGLISH
SCH0082,Govt. Elementary School Mistry,AMRITSAR,Tarn Taran,350,UPPER PRIMARY,PUNJABI
SCH0251,Govt. Middle School Choudhry,BATHINDA,Talwandi Sabo,410,HIGHER SECONDARY,HINDI
SCH0595,Govt. Primary School Char,AMRITSAR,Ajnala,208,UPPER PRIMARY,HINDI
SCH0239,Govt. Middle School Butala,FEROZEPUR,Mamdot,159,PRIMARY,HINDI
SCH0406,Govt. Senior Secondary School Bhattacharyya,SANGRUR,Sunam,351,SECONDARY,PUNJABI
SCH0064,Govt. Senior Secondary School Nayar,PATIALA,Patiala,439,PRIMARY,PUNJABI
SCH0272,Govt. Senior Secondary School Sarin,FEROZEPUR,Makhu,265,UPPER PRIMARY,HINDI
SCH0073,Govt. Senior Secondary School Shah,MOGA,,345,SECONDARY,PUNJABI
SCH0257,Govt. Senior Secondary School Rai,FEROZEPUR,Ferozepur,231,HIGHER SECONDARY,PUNJABI
SCH0555,Govt. Elementary School Mukhopadhyay,JALANDHAR,Nakodar,297,UPPER PRIMARY,HINDI
SCH0336,Govt. Middle School Sridhar,SANGRUR,Malerkotla,277,PRIMARY,HINDI
SCH0579,Govt. Primary School Puri,BATHINDA,Talwandi Sabo,153,UPPER PRIMARY,PUNJABI
SCH0400,Govt. Senior Secondary School Sastry,BATHINDA,Rampura Phul,273,SECONDARY,PUNJABI
SCH0261,Govt. Middle School Sen,LUDHIANA,Ludhiana-II,340,HIGHER SECONDARY,HINDI
SCH0136,Govt. Middle School Banerjee,LUDHIANA,,179,SECONDARY,HINDI
SCH0341,Govt. Elementary School Virk,MOGA,Moga-I,61,PRIMARY,PUNJABI
SCH0212,Govt. Senior Secondary School Sachar,MOGA,Bagha Purana,386,SECONDARY,ENGLISH
SCH0542,Govt. Primary School Balasubramanian,SANGRUR,Sangrur,224,HIGHER SECONDARY,ENGLISH
SCH0300,Govt. Middle School Chaudhary,BATHINDA,Talwandi Sabo,232,PRIMARY,ENGLISH
SCH0481,Govt. Middle School Bhatti,PATIALA,Samana,249,UPPER PRIMARY,HINDI
SCH0007,Govt. Middle School Kale,FEROZEPUR,Makhu,272,SECONDARY,ENGLISH
SCH0105,Govt. Primary School Desai,AMRITSAR,Tarn Taran,125,PRIMARY,ENGLISH
SCH0115,Govt. Primary School Sachdev,FEROZEPUR,Makhu,86,PRIMARY,ENGLISH
SCH0159,Govt. Senior Secondary School Gade,LUDHIANA,Doraha,432,HIGHER SECONDARY,HINDI
SCH0182,Govt. Middle School Hari,,Nihal Singh Wala,330,UPPER PRIMARY,PUNJABI
SCH0532,Govt. Primary School Sahni,PATIALA,,295,SECONDARY,HINDI
SCH0365,Govt. Middle School Bhavsar,AMRITSAR,,99,HIGHER SECONDARY,HINDI
SCH0178,Govt. Middle School Dyal,AMRITSAR,Tarn Taran,348,UPPER PRIMARY,ENGLISH
SCH0594,Govt. Primary School Murthy,BATHINDA,Rampura Phul,228,PRIMARY,HINDI
SCH0200,Govt. Senior Secondary School Anne,SANGRUR,Sangrur,86,HIGHER SECONDARY,PUNJABI
SCH0422,Govt. Primary School Rajan,BATHINDA,Maur,375,SECONDARY,PUNJABI
SCH0301,Govt. Elementary School Loke,SANGRUR,Dhuri,207,PRIMARY,ENGLISH
SCH0409,Govt. Primary School Puri,AMRITSAR,,369,SECONDARY,HINDI
SCH0397,Govt. Elementary School Raghavan,SANGRUR,Sangrur,106,HIGHER SECONDARY,PUNJABI
SCH0287,Govt. Senior Secondary School Bhavsar,FEROZEPUR,Mamdot,340,SECONDARY,ENGLISH
SCH0258,Govt. Primary School Kalita,LUDHIANA,Ludhiana-I,247,HIGHER SECONDARY,PUNJABI
SCH0260,Govt. Primary School Deol,SANGRUR,Malerkotla,63,SECONDARY,ENGLISH
SCH0043,Govt. Middle School Sachar,MOGA,,99,SECONDARY,HINDI
SCH0074,Govt. Primary School Parmer,SANGRUR,,393,HIGHER SECONDARY,HINDI
SCH0538,Govt. Middle School Wali,FEROZEPUR,Zira,308,UPPER PRIMARY,ENGLISH
SCH0067,Govt. Senior Secondary School Dewan,LUDHIANA,,334,HIGHER SECONDARY,HINDI
SCH0012,Govt. Elementary School Mand,LUDHIANA,Ludhiana-I,118,HIGHER SECONDARY,PUNJABI
SCH0164,Govt. Senior Secondary School Barad,AMRITSAR,Ajnala,82,SECONDARY,PUNJABI
SCH0444,Govt. Middle School Setty,FEROZEPUR,Ferozepur,237,SECONDARY,HINDI
SCH0211,Govt. Senior Secondary School Edwin,PATIALA,Samana,379,HIGHER SECONDARY,HINDI
SCH0333,Govt. Middle School Warrior,AMRITSAR,Amritsar-I,262,UPPER PRIMARY,PUNJABI
SCH0084,Govt. Primary School Wali,PATIALA,Samana,378,UPPER PRIMARY,PUNJABI
SCH0279,Govt. Senior Secondary School Narayan,,Nihal Singh Wala,94,SECONDARY,PUNJABI
SCH0449,Govt. Primary School Keer,FEROZEPUR,Mamdot,362,SECONDARY,HINDI
SCH0080,Govt. Elementary School Roy,SANGRUR,Dhuri,214,PRIMARY,PUNJABI
SCH0024,Govt. Primary School Bhandari,FEROZEPUR,,182,PRIMARY,HINDI
SCH0288,Govt. Middle School Goyal,AMRITSAR,Amritsar-II,200,SECONDARY,HINDI
SCH0302,Govt. Middle School Sama,AMRITSAR,Tarn Taran,151,UPPER PRIMARY,ENGLISH
SCH0281,Govt. Elementary School Agarwal,AMRITSAR,Amritsar-II,218,HIGHER SECONDARY,PUNJABI
SCH0245,Govt. Senior Secondary School Sarkar,LUDHIANA,Doraha,233,PRIMARY,HINDI
SCH0291,Govt. Elementary School Seth,SANGRUR,Sunam,139,HIGHER SECONDARY,PUNJABI
SCH0330,Govt. Middle School Badami,,Moga-I,211,HIGHER SECONDARY,HINDI
SCH0138,Govt. Primary School Gandhi,MOGA,Moga-II,229,SECONDARY,HINDI
SCH0189,Govt. Elementary School Mitter,FEROZEPUR,Mamdot,334,SECONDARY,HINDI
SCH0166,Govt. Middle School Devi,MOGA,Moga-II,54,PRIMARY,HINDI
SCH0297,Govt. Middle School Narayanan,LUDHIANA,Doraha,312,UPPER PRIMARY,ENGLISH
SCH0010,Govt. Elementary School Mani,PATIALA,Samana,148,HIGHER SECONDARY,HINDI
SCH0197,Govt. Elementary School Dada,MOGA,Nihal Singh Wala,106,PRIMARY,PUNJABI
SCH0232,Govt. Primary School Choudhary,LUDHIANA,Machhiwara,170,UPPER PRIMARY,PUNJABI
SCH0320,Govt. Middle School Dave,AMRITSAR,Amritsar-I,402,PRIMARY,ENGLISH
SCH0266,Govt. Middle School Hora,JALANDHAR,Phillaur,202,PRIMARY,ENGLISH
SCH0085,Govt. Elementary School Bandi,,,189,SECONDARY,HINDI
SCH0175,Govt. Senior Secondary School Naik,LUDHIANA,Doraha,198,HIGHER SECONDARY,PUNJABI
SCH0548,Govt. Elementary School Yohannan,PATIALA,Rajpura,432,SECONDARY,PUNJABI
SCH0219,Govt. Senior Secondary School Oommen,MOGA,Bagha Purana,370,PRIMARY,PUNJABI
SCH0317,Govt. Middle School Purohit,FEROZEPUR,,399,UPPER PRIMARY,HINDI
SCH0491,Govt. Primary School Raman,,Dhuri,334,UPPER PRIMARY,HINDI
SCH0391,Govt. Senior Secondary School Lad,JALANDHAR,Nakodar,89,SECONDARY,ENGLISH
SCH0214,Govt. Elementary School Chahal,BATHINDA,Rampura Phul,102,HIGHER SECONDARY,HINDI
SCH0154,Govt. Middle School Chakraborty,FEROZEPUR,,436,PRIMARY,PUNJABI
SCH0076,Govt. Primary School Oommen,MOGA,Bagha Purana,399,SECONDARY,ENGLISH
SCH0093,Govt. Elementary School Bora,LUDHIANA,Machhiwara,251,SECONDARY,PUNJABI
SCH0431,Govt. Middle School Sarin,BATHINDA,Rampura Phul,384,UPPER PRIMARY,ENGLISH
SCH0069,Govt. Elementary School Mital,MOGA,Moga-I,299,PRIMARY,ENGLISH
SCH0016,Govt. Senior Secondary School Varughese,LUDHIANA,Ludhiana-I,225,SECONDARY,PUNJABI
SCH0193,Govt. Primary School Parmer,JALANDHAR,Jalandhar-II,127,SECONDARY,PUNJABI
SCH0376,Govt. Elementary School Talwar,MOGA,Moga-I,212,SECONDARY,PUNJABI
SCH0089,Govt. Middle School Krishnamurthy,AMRITSAR,Amritsar-II,385,PRIMARY,HINDI
SCH0519,Govt. Elementary School Palan,,Maur,195,UPPER PRIMARY,PUNJABI
SCH0118,Govt. Middle School Hari,SANGRUR,Sangrur,89,UPPER PRIMARY,HINDI
SCH0410,Govt. Primary School Bath,LUDHIANA,,224,SECONDARY,PUNJABI
SCH0435,Govt. Middle School Rama,AMRITSAR,Amritsar-II,420,HIGHER SECONDARY,PUNJABI
SCH0034,Govt. Senior Secondary School Kumar,BATHINDA,Bathinda,94,UPPER PRIMARY,HINDI
SCH0001,Govt. Primary School Nadkarni,AMRITSAR,Amritsar-I,419,UPPER PRIMARY,HINDI
SCH0554,Govt. Primary School Din,PATIALA,Patiala,364,HIGHER SECONDARY,HINDI
SCH0356,Govt. Middle School Brahmbhatt,PATIALA,Patiala,294,PRIMARY,PUNJABI
SCH0454,Govt. Senior Secondary School Bala,PATIALA,Rajpura,370,UPPER PRIMARY,ENGLISH
SCH0552,Govt. Primary School Bhavsar,PATIALA,Patiala,410,HIGHER SECONDARY,ENGLISH
SCH0023,Govt. Senior Secondary School Bumb,LUDHIANA,Machhiwara,412,PRIMARY,HINDI
SCH0473,Govt. Middle School Nori,JALANDHAR,Phillaur,346,PRIMARY,HINDI
SCH0117,Govt. Primary School Reddy,AMRITSAR,Tarn Taran,398,HIGHER SECONDARY,ENGLISH
SCH0090,Govt. Elementary School Pingle,SANGRUR,Dhuri,182,HIGHER SECONDARY,PUNJABI
SCH0183,Govt. Primary School Narain,JALANDHAR,,243,SECONDARY,HINDI
SCH0496,Govt. Middle School Hayre,AMRITSAR,Amritsar-II,283,UPPER PRIMARY,HINDI
SCH0412,Govt. Elementary School Anand,AMRITSAR,Ajnala,215,HIGHER SECONDARY,PUNJABI
SCH0019,Govt. Senior Secondary School Venkatesh,SANGRUR,Dhuri,101,PRIMARY,PUNJABI
SCH0429,Govt. Elementary School Narain,FEROZEPUR,Zira,180,SECONDARY,HINDI
SCH0536,Govt. Middle School Chandran,JALANDHAR,Jalandhar-I,311,SECONDARY,HINDI
SCH0145,Govt. Elementary School Kashyap,SANGRUR,Malerkotla,85,PRIMARY,PUNJABI
SCH0303,Govt. Elementary School Bava,JALANDHAR,,443,PRIMARY,HINDI
SCH0558,Govt. Senior Secondary School Morar,PATIALA,Rajpura,242,UPPER PRIMARY,ENGLISH
SCH0426,Govt. Elementary School Andra,FEROZEPUR,Ferozepur,364,PRIMARY,HINDI
SCH0273,Govt. Senior Secondary School Parikh,FEROZEPUR,Makhu,189,HIGHER SECONDARY,ENGLISH
SCH0262,Govt. Primary School Mital,FEROZEPUR,Makhu,236,UPPER PRIMARY,ENGLISH
SCH0363,Govt. Elementary School Sankar,BATHINDA,Rampura Phul,192,PRIMARY,ENGLISH
SCH0430,Govt. Senior Secondary School Dutt,FEROZEPUR,Makhu,399,SECONDARY,HINDI
SCH0168,Govt. Elementary School Narayan,AMRITSAR,Amritsar-I,171,UPPER PRIMARY,ENGLISH
SCH0055,Govt. Elementary School Sem,SANGRUR,Malerkotla,424,SECONDARY,ENGLISH
SCH0442,Govt. Middle School Karpe,FEROZEPUR,Mamdot,87,UPPER PRIMARY,HINDI
SCH0047,Govt. Senior Secondary School Karpe,JALANDHAR,Jalandhar-II,255,HIGHER SECONDARY,ENGLISH
SCH0094,Govt. Elementary School Pingle,PATIALA,Samana,321,SECONDARY,HINDI
SCH0305,Govt. Senior Secondary School Mane,JALANDHAR,,87,SECONDARY,ENGLISH
SCH0109,Govt. Elementary School Pradhan,FEROZEPUR,Makhu,273,UPPER PRIMARY,PUNJABI
SCH0293,Govt. Primary School Wadhwa,JALANDHAR,Phillaur,329,HIGHER SECONDARY,ENGLISH
SCH0196,Govt. Senior Secondary School Kara,LUDHIANA,Ludhiana-II,265,HIGHER SECONDARY,ENGLISH
SCH0514,Govt. Primary School Mahal,AMRITSAR,Amritsar-I,72,HIGHER SECONDARY,HINDI
SCH0468,Govt. Middle School Mishra,BATHINDA,Talwandi Sabo,154,SECONDARY,PUNJABI
SCH0371,Govt. Elementary School Baral,PATIALA,Nabha,344,PRIMARY,ENGLISH
SCH0408,Govt. Primary School Salvi,LUDHIANA,Ludhiana-I,96,HIGHER SECONDARY,PUNJABI
SCH0008,Govt. Middle School Sibal,AMRITSAR,Amritsar-II,313,UPPER PRIMARY,HINDI
SCH0413,Govt. Primary School Bhatnagar,SANGRUR,Dhuri,372,UPPER PRIMARY,HINDI
SCH0424,Govt. Elementary School Baral,BATHINDA,Rampura Phul,399,UPPER PRIMARY,HINDI
SCH0285,Govt. Primary School Chaudhry,FEROZEPUR,Ferozepur,400,SECONDARY,HINDI
SCH0276,Govt. Elementary School Naik,SANGRUR,Sunam,364,SECONDARY,PUNJABI
SCH0582,Govt. Primary School Tiwari,,Rajpura,416,HIGHER SECONDARY,PUNJABI
SCH0070,Govt. Elementary School Nair,SANGRUR,Sunam,262,SECONDARY,HINDI
SCH0265,Govt. Primary School Bhat,FEROZEPUR,Ferozepur,435,UPPER PRIMARY,PUNJABI
SCH0433,Govt. Senior Secondary School Hayre,AMRITSAR,Amritsar-I,235,PRIMARY,ENGLISH
SCH0299,Govt. Elementary School Sane,PATIALA,Nabha,404,UPPER PRIMARY,HINDI
SCH0250,Govt. Senior Secondary School Lad,BATHINDA,Talwandi Sabo,191,SECONDARY,ENGLISH
SCH0573,Govt. Middle School Thakkar,PATIALA,Nabha,337,UPPER PRIMARY,HINDI
SCH0275,Govt. Primary School Chandran,LUDHIANA,Machhiwara,402,SECONDARY,PUNJABI
SCH0150,Govt. Primary School Parikh,LUDHIANA,Doraha,299,HIGHER SECONDARY,ENGLISH
SCH0125,Govt. Primary School Srivastava,MOGA,Moga-I,129,UPPER PRIMARY,PUNJABI
SCH0470,Govt. Elementary School Handa,JALANDHAR,Nakodar,348,PRIMARY,PUNJABI
SCH0531,Govt. Senior Secondary School Acharya,PATIALA,Patiala,61,HIGHER SECONDARY,PUNJABI
SCH0186,Govt. Senior Secondary School Pillay,MOGA,Moga-I,321,SECONDARY,HINDI
SCH0334,Govt. Senior Secondary School Gole,MOGA,Bagha Purana,271,PRIMARY,HINDI
SCH0313,Govt. Senior Secondary School Behl,PATIALA,Nabha,422,PRIMARY,PUNJABI
SCH0478,Govt. Elementary School Padmanabhan,FEROZEPUR,Makhu,62,HIGHER SECONDARY,PUNJABI
SCH0311,Govt. Elementary School Sarkar,AMRITSAR,Amritsar-II,425,HIGHER SECONDARY,HINDI
SCH0350,Govt. Primary School Mann,JALANDHAR,,292,UPPER PRIMARY,HINDI
SCH0032,Govt. Senior Secondary School Narang,BATHINDA,Maur,218,UPPER PRIMARY,HINDI
SCH0587,Govt. Senior Secondary School Verma,JALANDHAR,Phillaur,321,UPPER PRIMARY,HINDI
SCH0507,Govt. Middle School Gola,LUDHIANA,Ludhiana-II,170,PRIMARY,ENGLISH
SCH0569,Govt. Middle School Gill,BATHINDA,Rampura Phul,290,UPPER PRIMARY,ENGLISH
SCH0487,Govt. Senior Secondary School Keer,BATHINDA,Bathinda,436,HIGHER SECONDARY,HINDI
SCH0142,Govt. Senior Secondary School Badami,BATHINDA,Rampura Phul,207,HIGHER SECONDARY,HINDI
SCH0020,Govt. Primary School Soman,AMRITSAR,Amritsar-I,157,PRIMARY,ENGLISH
SCH0173,Govt. Senior Secondary School Johal,MOGA,Moga-II,62,SECONDARY,PUNJABI
SCH0484,Govt. Elementary School Hayre,JALANDHAR,Jalandhar-I,422,UPPER PRIMARY,HINDI
SCH0483,Govt. Middle School Varkey,SANGRUR,Sunam,229,HIGHER SECONDARY,PUNJABI
SCH0026,Govt. Elementary School Narayan,,Ludhiana-II,234,HIGHER SECONDARY,HINDI
SCH0447,Govt. Middle School Dash,FEROZEPUR,,422,PRIMARY,PUNJABI
SCH0590,Govt. Elementary School Khare,SANGRUR,,151,HIGHER SECONDARY,HINDI
SCH0319,Govt. Primary School Bassi,LUDHIANA,Ludhiana-II,84,PRIMARY,HINDI
SCH0246,Govt. Primary School Chaudhari,PATIALA,Rajpura,146,SECONDARY,HINDI
SCH0339,Govt. Elementary School Zacharia,JALANDHAR,Jalandhar-I,46,UPPER PRIMARY,PUNJABI
SCH0155,Govt. Senior Secondary School Chander,FEROZEPUR,Makhu,169,UPPER PRIMARY,ENGLISH
SCH0127,Govt. Elementary School Palla,BATHINDA,Talwandi Sabo,369,PRIMARY,PUNJABI
SCH0368,Govt. Elementary School Raman,FEROZEPUR,Zira,323,HIGHER SECONDARY,PUNJABI
SCH0114,Govt. Primary School Randhawa,SANGRUR,Malerkotla,422,PRIMARY,HINDI
SCH0174,Govt. Senior Secondary School Lanka,SANGRUR,,109,HIGHER SECONDARY,HINDI
SCH0058,Govt. Elementary School Savant,FEROZEPUR,Mamdot,434,PRIMARY,ENGLISH
SCH0345,Govt. Elementary School Mangal,LUDHIANA,Machhiwara,440,HIGHER SECONDARY,HINDI
SCH0223,Govt. Senior Secondary School Mallick,BATHINDA,Maur,47,SECONDARY,PUNJABI
SCH0018,Govt. Elementary School Palla,BATHINDA,Talwandi Sabo,148,UPPER PRIMARY,ENGLISH
SCH0321,Govt. Primary School Nayak,JALANDHAR,Nakodar,104,SECONDARY,PUNJABI
SCH0256,Govt. Middle School Chaudhry,JALANDHAR,Jalandhar-I,89,UPPER PRIMARY,ENGLISH
SCH0328,Govt. Senior Secondary School Sarraf,SANGRUR,Sangrur,228,SECONDARY,HINDI
SCH0592,Govt. Primary School Ray,LUDHIANA,,56,SECONDARY,PUNJABI
SCH0191,Govt. Senior Secondary School Bera,AMRITSAR,Amritsar-II,195,SECONDARY,HINDI
SCH0342,Govt. Senior Secondary School Kashyap,SANGRUR,Sangrur,235,UPPER PRIMARY,PUNJABI
SCH0544,Govt. Senior Secondary School Khalsa,FEROZEPUR,Zira,138,UPPER PRIMARY,HINDI
